            Australian Bureau of Statistics,,,,,,,,,,,,,
"3218.0  Regional Population Growth, Australia",,,,,,,,,,,,,
Released at 11.30am (Canberra time) 25 March 2020,,,,,,,,,,,,,
"Table 1. Estimated Resident Population, Local Government Areas, New South Wales",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,ERP at 30 June,,,ERP change,,,Components of population change 2018-19,,,,,
,,2018,2019,,2018-2019,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2019
LGA code,Local Government Area,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2
,,,,,,,,,,,,,
10050,Albury (C),53705,54353,,648,1.2,,262,125,261,,305.9,177.7
10130,Armidale Regional (A),30681,30779,,98,0.3,,139,-379,338,,8620.7,3.6
10250,Ballina (A),44172,44628,,456,1.0,,-11,286,181,,484.9,92.0
10300,Balranald (A),2338,2338,,0,0.0,,11,-17,6,,21690.7,0.1
10470,Bathurst Regional (A),43163,43618,,455,1.1,,209,91,155,,3817.9,11.4
10500,Bayside (A),174218,178396,,4178,2.4,,1344,-1709,4543,,49.9,3575.8
10550,Bega Valley (A),34315,34476,,161,0.5,,-79,163,77,,6278.9,5.5
10600,Bellingen (A),12953,12996,,43,0.3,,18,-12,37,,1600.4,8.1
10650,Berrigan (A),8700,8750,,50,0.6,,-27,43,34,,2065.8,4.2
10750,Blacktown (C),366078,374451,,8373,2.3,,4380,-310,4303,,240.0,1559.9
10800,Bland (A),5979,5972,,-7,-0.1,,27,-41,7,,8557.7,0.7
10850,Blayney (A),7334,7379,,45,0.6,,32,4,9,,1524.6,4.8
10900,Blue Mountains (C),79191,79118,,-73,-0.1,,99,-549,377,,1431.1,55.3
10950,Bogan (A),2618,2580,,-38,-1.5,,15,-59,6,,14599.9,0.2
11150,Bourke (A),2626,2590,,-36,-1.4,,19,-57,2,,41599.5,0.1
11200,Brewarrina (A),1653,1611,,-42,-2.5,,6,-49,1,,19163.5,0.1
11250,Broken Hill (C),17715,17479,,-236,-1.3,,-6,-265,35,,170.1,102.7
11300,Burwood (A),39864,40612,,748,1.9,,134,-798,1412,,7.1,5697.5
11350,Byron (A),34545,35081,,536,1.6,,163,50,323,,565.8,62.0
11400,Cabonne (A),13667,13634,,-33,-0.2,,23,-77,21,,6022.3,2.3
11450,Camden (A),94029,101437,,7408,7.9,,1531,5573,304,,201.0,504.6
11500,Campbelltown (C) (NSW),167930,170943,,3013,1.8,,1799,-121,1335,,311.9,548.1
11520,Canada Bay (A),95064,96074,,1010,1.1,,670,-927,1267,,19.9,4822.2
11570,Canterbury-Bankstown (A),373486,377917,,4431,1.2,,3518,-4532,5445,,110.2,3428.2
11600,Carrathool (A),2799,2799,,0,0.0,,29,-42,13,,18934.5,0.1
11650,Central Coast (C) (NSW),341693,343968,,2275,0.7,,593,357,1325,,1681.1,204.6
11700,Central Darling (A),1835,1839,,4,0.2,,17,-24,11,,53492.2,0.0
11720,Cessnock (C),59029,59985,,956,1.6,,294,581,81,,1965.2,30.5
11730,Clarence Valley (A),51598,51662,,64,0.1,,-50,9,105,,10428.7,5.0
11750,Cobar (A),4715,4658,,-57,-1.2,,42,-116,17,,45579.3,0.1
11800,Coffs Harbour (C),76480,77277,,797,1.0,,138,176,483,,1173.7,65.8
12000,Coolamon (A),4363,4341,,-22,-0.5,,13,-40,5,,2430.9,1.8
12150,Coonamble (A),4008,3958,,-50,-1.2,,36,-88,2,,9916.1,0.4
12160,Cootamundra-Gundagai Regional (A),11250,11235,,-15,-0.1,,-25,-5,15,,3981.4,2.8
12350,Cowra (A),12753,12743,,-10,-0.1,,-35,8,17,,2808.8,4.5
12380,Cumberland (A),236599,241521,,4922,2.1,,2871,-3329,5380,,71.6,3375.5
12390,Dubbo Regional (A),53167,53719,,552,1.0,,393,-63,222,,7534.5,7.1
12700,Dungog (A),9336,9423,,87,0.9,,9,72,6,,2250.0,4.2
12730,Edward River (A),8984,9084,,100,1.1,,26,45,29,,8883.4,1.0
12750,Eurobodalla (A),38253,38473,,220,0.6,,-208,337,91,,3428.2,11.2
12850,Fairfield (C),210417,211695,,1278,0.6,,1237,-2772,2813,,101.5,2085.5
12870,Federation (A),12450,12437,,-13,-0.1,,-36,-2,25,,5685.0,2.2
12900,Forbes (A),9898,9906,,8,0.1,,13,-19,14,,4710.1,2.1
12930,Georges River (A),158283,159471,,1188,0.8,,862,-3366,3692,,38.3,4158.7
12950,Gilgandra (A),4221,4239,,18,0.4,,19,-17,16,,4831.5,0.9
13010,Glen Innes Severn (A),8900,8871,,-29,-0.3,,-48,7,12,,5480.0,1.6
13310,Goulburn Mulwaree (A),30823,31132,,309,1.0,,103,75,131,,3220.1,9.7
13340,Greater Hume Shire (A),10675,10764,,89,0.8,,1,69,19,,5749.5,1.9
13450,Griffith (C),26849,27029,,180,0.7,,174,-286,292,,1639.2,16.5
13550,Gunnedah (A),12643,12681,,38,0.3,,107,-100,31,,4987.0,2.5
13660,Gwydir (A),5344,5353,,9,0.2,,10,-4,3,,9259.7,0.6
13800,Hawkesbury (C),67007,67296,,289,0.4,,472,-344,161,,2775.1,24.2
13850,Hay (A),2975,2949,,-26,-0.9,,7,-48,15,,11325.9,0.3
